doc_id,title,source,vigencia
REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA.pdf,REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA,data\raw\REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA.pdf,2024-2025
ReglamentodeRegimendeEstudios__2023_.pdf,ReglamentodeRegimendeEstudios__2023_,data\raw\ReglamentodeRegimendeEstudios__2023_.pdf,2024-2025
Calendario_academico.txt,Calendario_academico,data\raw\Calendario_academico.txt,2025
